locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,gymnasium,children's_play_area,club_house,lift(s),swimming_pool,landscaped_gardens,rain_water_harvesting,maintenance_staff,jogging_track,sports_facility,car_parking,24_x_7_security,full_power_backup,locality_score,project_score,builder_experience,indoor_games,atm,intercom,school,pincode,multipurpose_room,vaastu_compliant,cafeteria,staff_quarter,hospital,golf_course
Indirapuram,2178.0,31500000.0,INR,1.0,0,0,"2178 Square feet Plot for sale in Shakti Khand III, Ghaziabad. This land has a dimension of 66.0 mt length 33.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 60.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Flair Mania Bartending Academy & Events in india, AL-AQSA CHARITABLE TRUST, and JKG International School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,540.0,750000.0,INR,1.0,0,0,"This plot is available for sale and is located in Aarvanss Infrastructure Mansarovar Park, one of the most prestigious projects of Lal Kuan. It has an area of 540 sqft and is priced at Rs. 7.50 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,4,1,1,0,0,0,0,,,0,0,,1,1,7.4,7.8,123.0,,,,,,,,,,,
Dasna,1215.0,9450000.0,INR,1.0,0,0,"This plot is situated in Aditya GZB White Cottage, Dasna. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,6,1,1,1,1,1,1,,,1,0,1.0,0,1,7.2,8.3,43.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,
Crossing Republik,1638.0,8600000.0,INR,1.0,0,0,"A plot property is available for sale in Ansal API Aquapolis, Crossing Republik, Ghaziabad. It has a salable area of 1638 sqft and is available at a price of Rs. 5,250 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,1,1,1,1,1,1,0,1.0,1.0,1,1,1.0,1,1,,8.8,55.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Chhapraula,345.0,475000.0,INR,1.0,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has a salable area of 345 sqft and is available at a price of Rs. 1,376 per sqft. Its entry is south facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,south,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Dasna,2152.0,10039080.0,INR,0.0,1,0,"A plot property is available for sale in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 2152 sqft and is priced at Rs. 1.00 cr . It has rain water harvesting as well as intercom. The project also has cycling & jogging track, gymnasium, fire fighting system, car parking, atm, water storage, multipurpose room and 24x7_water_supply. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Raj Nagar Extension,220.0,11000000.0,INR,1.0,1,0,"220 Square feet Plot for sale in Raj Nagar Extension, Ghaziabad. This land has a dimension of 22.0 mt length 10.0 mt width. Price. The name of the project is Krishna Enclave. The plot is North-East facing. The width of the facing road is 10.0 mt. The most popular landmarks near this plot are Cambridge Montessori Preschool (CMPS), Robin 's Academy, and Anapurna Restaurant",1,northeast,0,0,1,1,1,1,1,0,1.0,,1,0,1.0,1,1,,8.2,123.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Raj Nagar Extension,879.0,1746000.0,INR,0.0,1,0,"879 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 29.0 mt length 30.0 mt width. Price. This is a corner plot. The plot is North-East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,900.0,1600000.0,INR,0.0,1,0,"It has an area of 900 sqft and is priced at Rs. 16.00 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,450.0,800000.0,INR,1.0,1,0,"A plot is available for sale in Aarvanss Infrastructure Mansarovar Park, Lal Kuan, Ghaziabad. It has an area of 450 sqft and is priced at Rs. 8.00 lac . It is east facing property. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,4,1,1,0,0,1,0,,,0,0,,1,1,7.4,7.8,123.0,,,,,,,,,,,
duhai,620.0,1650500.0,INR,1.0,1,0,"A plot is available for sale in duhai, Ghaziabad. It has an area of 620 sqft. The property is available at a price of Rs. 16.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
DLF Ankur Vihar,300.0,1000000.0,INR,1.0,1,0,"A plot is available for sale in DLF Ankur Vihar, Ghaziabad. It has an area of 300 sqft. The property is available at a price of Rs. 10.00 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Modinagar,9500.0,8000000.0,INR,0.0,1,0,"A plot property is available for sale in Modinagar, Ghaziabad. It has an area of 9500 sqft. The property is available at a price of Rs. 80.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,5.8,,,,,,,,,,,,,
Vasundhara,840.0,11000000.0,INR,1.0,0,0,"This plot is situated in Vasundhara, Ghaziabad. It has an area of 840 sqft and is priced at Rs. 1.10 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Gyan Khand,2745.0,23700000.0,INR,1.0,0,0,"A plot property is available for sale in Gyan Khand, Ghaziabad. It has a salable area of 2745 sqft and is available at a price of Rs. 8,633 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,1,0,0,0,0,0,,,0,0,,0,0,9.5,,,,,,,,,,,,,
Dasna,1233.0,7500000.0,INR,1.0,1,0,"A plot is available for sale in Uppal Chadha Hi Tech Developers Sector 7 Plots, Dasna, Ghaziabad. It has an area of 1233 sqft and is priced at Rs. 75.00 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,0,2,1,0,0,0,1,0,,,0,0,,0,0,7.2,,2022.0,,,,,,,,,,,
Dasna,900.0,4800000.0,INR,1.0,1,0,"This plot is available for sale and is located in Aditya Builders Pune World City, one of the most prestigious projects of Dasna. It has a salable area of 900 sqft and is available at a price of Rs. 5,333 per sqft. The amenities include gymnasium, community hall and swimming pool. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
wave city,450.0,675000.0,INR,1.0,1,0,"This plot is available for sale and is located in the heart of wave city. It has a salable area of 450 sqft and is available at a price of Rs. 1,500 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Shakti Khand,2000.0,10000000.0,INR,1.0,0,0,"This plot is situated in Shakti Khand. It has an area of 2000 sqft and is priced at Rs. 1.00 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
Lal Kuan,450.0,900000.0,INR,1.0,1,0,"450 Square feet Plot for sale in Lal Kuan, Ghaziabad. This land has a dimension of 27.0 mt length 17.0 mt width. Price. The width of the facing road is 22.0 mt. The most popular landmarks near this plot are The Achiever's Academy, Training School Northern Railway, and Abhishek KASHYAP",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Siddhartha Vihar,4675.0,29700000.0,INR,1.0,1,0,"This plot is situated in Siddhartha Vihar, Ghaziabad. It has an area of 4675 sqft and is priced at Rs. 2.97 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Rajendra Nagar,1962.0,22500000.0,INR,1.0,0,0,"A plot property is available for sale in Rajendra Nagar, Ghaziabad. It has an area of 1962 sqft. The property is available at a price of Rs. 2.25 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900.0,2400000.0,INR,1.0,0,0,"This plot is situated in Govindpuram, Ghaziabad. It has an area of 900 sqft and is priced at Rs. 24.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Kamla Nehru Nagar,1079.0,6822000.0,INR,1.0,0,0,"A plot is available at a prime location in Kamla Nehru Nagar. It has an area of 1079 sqft and is priced at Rs. 68.22 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Patel Nagar,900.0,9000000.0,INR,1.0,0,0,"A plot is available for sale in Patel Nagar, Ghaziabad. It has an area of 900 sqft. The property is available at a price of Rs. 90.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Vaishali,1290.0,26000000.0,INR,1.0,1,0,"This plot is situated in Vaishali, Ghaziabad. It has a salable area of 1290 sqft and is available at a price of Rs. 20,155 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chipiyana Buzurg,520.0,1250000.0,INR,1.0,1,0,"Takshvi global home's THE Mission of company is to the Most Sucessful Real Estate Company in Delhi NCR .
Takshvi Group is Young Vibrant and Dynamic reality Company with expending intrest in residential & Commercial Real Estate. We have young , Growing and Dynamic team of professional specializing in the marketing listings and saleing new Residential Plots and house .Undevloped land and commercial and investing opportunities .takshvi global home's is a creative innovative and people oriented organization providing individual opportunities personal satisfaction and rewarding challenges in all members of the company 


PROJECT SPECIFICATION & LOCATION ADVANTAGES
ECOFRIENDLY AND POLLUTION FREE TOWNSHIP
Blakhh TOP WIDE ROAD
GATED SOCIETY 
DEVLOPMENT STARTED IMMEDIATE REGISTRY POSSESSION & MUTATION 
 
Mansarovar park is connected with 2 national highway namely nh 91 & 24 which provide direct connectivity to the township .Proposed metro station school hospiltal less then 1 km wide main road 
5 km from railway station 
4 km from bus station more then 50 institute like IT .
Adjoining all residential colonies & High rise Township of Wave city , Jaipuriya Sare Homes Saamag , Aditya World city etc More About This Property 520 Square feet Plot for sale in Chipiyana Buzurg 12, Ghaziabad. This land has a dimension of 32.0 mt length 16.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 16.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Cambridge Public School, Arogya Poly Clinic, and Amit Classes",1,east,0,5,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
DLF Ankur Vihar,450.0,1750000.0,INR,1.0,0,0,"A plot is available at a prime location in DLF Ankur Vihar. It has a salable area of 450 sqft and is available at a price of Rs. 3,888 per sqft. Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,north,0,0,1,0,0,0,1,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,486.0,589000.0,INR,1.0,1,0,"Plot for in Modern railway City Lal kuan Ghaziabad.Boundary wall gated society and electricity pass colony.school hospital Shoaping complex and local market at walking distance. More About This Property 486 Square feet Plot for sale in Girdharpur Sunarasi, Ghaziabad. This land has a dimension of 34.0 mt length 15.0 mt width. Price. The name of the project is Aarvanss Modern Railway City. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Shree Ji Unitech Co., Sunrise Academy, and Merry Child International School",1,east,0,4,1,0,0,0,0,0,,,1,0,1.0,1,0,7.4,7.7,123.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,
Raj Nagar Extension,900.0,1350000.0,INR,1.0,1,0,"900 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. This is a corner plot. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 20.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,1350.0,5320000.0,INR,1.0,1,0,"This plot is available for sale and is located in the heart of Govindpuram. It has a salable area of 1350 sqft and is available at a price of Rs. 3,940 per sqft. It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Shastri Nagar,2745.0,16500000.0,INR,1.0,0,0,"This plot is situated in Shastri Nagar. It has an area of 2745 sqft. The property is available at a price of Rs. 1.65 cr . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,1,0,0,0,0,0,,,0,0,,0,0,7.9,,,,,,,,,,,,,
Govindpuram,945.0,4350000.0,INR,1.0,1,0,"It has an area of 945 sqft. The property is available at a price of Rs. 43.50 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,1197.0,5650000.0,INR,1.0,1,0,"This plot is situated in Aditya Builders Pune World City, Dasna. It has an area of 1197 sqft. The property is available at a price of Rs. 56.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Lal Kuan,1350.0,2250000.0,INR,1.0,1,0,"A plot is available at a prime location in Lal Kuan. It has an area of 1350 sqft. The property is available at a price of Rs. 22.50 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Raj Nagar Extension,900.0,2100000.0,INR,1.0,1,0,"900 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 20.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 28.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,2368.0,36000000.0,INR,1.0,0,0,"2368 Square feet Plot for sale in Niti Khand I, Ghaziabad. This land has a dimension of 75.0 mt length 32.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 36.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are JKG International School, Apollo Clinic, and Gulati Punjabi Swad",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,454.0,688500.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has a salable area of 454 sqft and is available at a price of Rs. 1,516 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Raj Nagar Extension,1539.0,3400000.0,INR,0.0,1,0,"A plot is available at a prime location in Raj Nagar Extension. It has an area of 1539 sqft. The property is available at a price of Rs. 34.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,405.0,810000.0,INR,1.0,1,0,"405 Square feet Plot for sale in Lal Kuan, Ghaziabad. This land has a dimension of 27.0 mt length 15.0 mt width. Price. The width of the facing road is 22.0 mt. The most popular landmarks near this plot are The Achiever's Academy, Training School Northern Railway, and Abhishek KASHYAP",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Vasundhara,538.0,6000000.0,INR,1.0,0,0,"A plot is available for sale in Vasundhara, Ghaziabad. It has an area of 538 sqft and is priced at Rs. 60.00 lac . It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,north,0,0,1,0,0,0,1,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,855.0,2600000.0,INR,1.0,0,0,"This plot is situated in Govindpuram. It has an area of 855 sqft and is priced at Rs. 26.00 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northwest,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,710.0,1650000.0,INR,1.0,1,0,"This plot is situated in Aarvanss Infrastructure Mansarovar Park, Lal Kuan, Ghaziabad. It has an area of 710 sqft and is priced at Rs. 16.50 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,4,1,1,0,0,0,0,,,0,0,,1,1,7.4,7.8,123.0,,,,,,,,,,,
Govindpuram,495.0,1450000.0,INR,1.0,1,0,"This plot is situated in Govindpuram. It has a salable area of 495 sqft and is available at a price of Rs. 2,929 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
