locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,lift(s),24_x_7_security,children's_play_area,club_house,full_power_backup,swimming_pool,sports_facility,jogging_track,landscaped_gardens,gymnasium,school,locality_score,project_score,builder_experience,intercom,rain_water_harvesting,car_parking,vaastu_compliant,indoor_games,multipurpose_room,staff_quarter,golf_course,cafeteria,maintenance_staff,atm,pincode,hospital
Lal Kuan,612.0,4500000.0,INR,1.0,1,0,It has a built-up area of 612 sqft and is priced at Rs. 45.00 lac . It has fire sprinklers as well as earthquake resistant structure. The project also has 24 hours water supply and power backup. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ,1,,0,2,0,0,0,0,1,0,0,0,0,0,,7.4,,,,,,,,,,,,,,,
Niti Khand,1205.0,18500000.0,INR,1.0,1,0,"A 3 bhk property is available for sale in Niti Khand, Ghaziabad. It is a semi-furnished property. It is facing east direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,1,0,0,0,0,0,,9.3,,,1.0,,,,,,,,,,,,
Raj Nagar Extension,2875.0,18000106.0,INR,0.0,1,0,"4 BHK Villa for sale in Ghukna, Ghaziabad - contact now, for details about the most coveted property. This 4 BHK unit is available in Ghukna and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Ghukna. The built-up area is 2875 Square feet. There are 4 bedrooms and 4 bathroom. This property is at a walking distance from Vardan Netra Chikitsalaya, Lifecell Multi Speciality Centre, and Geetanjali Dental Clinic. The city's best schools such as The American School, Ghaziabad, Makoons Pre-School, and Nav Gyan Jyoti Public School are near your residential property",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chipiyana Buzurg,2100.0,6400000.0,INR,1.0,1,0,Well designed 3 bhk villa is available at a prime location in Trust Bricks Reality Green Villa 2. It has a built-up area of 2100 sqft and is priced at Rs. 64.00 lac . The house is semi-furnished. Its main door is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ,1,east,0,0,0,1,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Dasna,1693.0,14200000.0,INR,1.0,1,0,"5 BHK Villa for sale in Wave City, Ghaziabad with modern-day amenities. The Villa is in Wave City which is a promising investment destination in Ghaziabad. This might be your chance to grab the best 5 BHK property for sale in Wave City. This 5 BHK Villa is available at a reasonable price of Rs 1.42 Cr. The built-up area is 1693 Square feet. This property has provision for 4 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Columbia Asia Hospital - Ghaziabad, Ayurvedic treatment for Piles, Fissure, Fistula in Ghaziabad, India, and Komal Sharma Hospital. The city's best schools like ST XAVIERS HIGH SCHOOL, Primary School, Mehrauli Village, Ghaziabad, and Prathmik IVidhyalaya are also near this housing project",1,,0,2,0,0,0,0,0,0,0,0,0,0,,7.2,,2022.0,,,,,,,,,,,,,
Chhapraula,650.0,2851000.0,INR,,1,0,"Well designed 3 bhk villa is available at a prime location in Chhapraula. It has a built-up area of 650 sqft and is priced at Rs. 28.51 lac . The house is semi-furnished. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Raj Nagar,3078.0,12580000.0,INR,,1,0,This spacious 4 bhk villa is available for sale and is located in the heart of Raj Nagar. It has an area of 3078 sqft with a carpet area of 2800 sqft . The property is available at a price of Rs. 1.26 cr . The house is semi-furnished. Its main door is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living. It is well connected to the city areas. ,1,east,0,0,1,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Lal Kuan,1467.0,4600000.0,INR,1.0,1,0,"Well designed 3 bhk villa is available at a prime location in Lal Kuan. It has a built-up area of 1467 sqft and is priced at Rs. 46.00 lac . The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,1,1,0,0,0,0,0,0,,7.4,,,,,,,,,,,,,,,
Govindpuram,1260.0,3800000.0,INR,,1,0,"It’s a 2 bhk villa situated in Govindpuram, Ghaziabad. It has an area of 1260 sqft with a carpet area of 1160 sqft . The property is available at a price of Rs. 38.00 lac . It is a furnished property. Its main door is facing south direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. ",1,south,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ahinsa Khand 2,2170.0,10000000.0,INR,,0,0,"This spacious 4 bhk villa is available for sale and is located in Niho Hi Bird Scottish Garden, one of the most prestigious projects of Ahinsa Khand 2. It has a built-up area of 2170 sqft and is priced at Rs. 1.00 cr . The house is semi-furnished. It is facing east direction. It is a 11 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,12,1,1,1,1,1,1,1,0,0,1,,9.1,7.8,21.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,
Sector 15 Vasundhara,6000.0,40000000.0,INR,,1,0,"It’s a 8 bhk villa situated in Swaraj Homes Vasundhara Colony Welfare, Sector 15 Vasundhara. It has an area of 6000 sqft with a carpet area of 5500 sqft . The property is available at a price of Rs. 4.00 cr . The house is furnished. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,east,1,0,0,0,1,0,1,0,0,0,0,0,,,,2022.0,,,,,,,,,,,,,
Raj Nagar Extension,2250.0,13500000.0,INR,1.0,1,0,"A spacious 5 bhk villa is available for sale in Raj Nagar Extension, Ghaziabad. It has a salable area of 2250 sqft and is available at a price of Rs. 6,000 per sqft. The house is semi-furnished. Its main door is facing southeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,southeast,0,0,0,0,1,1,1,0,0,0,0,1,,,,,1.0,,,,,,,,,,,,
Vaishali,1582.0,12000000.0,INR,,0,0,"A 3 bhk property is available for sale in Vaishali, Ghaziabad. It has a built-up area of 1582 sqft and is priced at Rs. 1.20 cr . It is east facing property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Govindpuram,1200.0,3400000.0,INR,,1,0,"It’s a 3 bhk villa situated in SLV Infrabuild SLV Balaji Encalve, Govindpuram, Ghaziabad. It has an area of 1200 sqft with a carpet area of 720 sqft . The property is available at a price of Rs. 34.00 lac . It is a 4 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,123.0,,,,,,,,,,,,,
Raj Nagar,1800.0,21500000.0,INR,,0,0,It’s a 3 bhk villa situated in Raj Nagar. It has an area of 1800 sqft with a carpet area of 1800 sqft . The property is available at a price of Rs. 2.15 cr . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,1,north,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Chipiyana Buzurg,800.0,4300000.0,INR,1.0,1,0,"The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Govindpuram,1450.0,4700000.0,INR,,1,0,"A 3 bhk property is available for sale in Govindpuram, Ghaziabad. It has an area of 1450 sqft with a carpet area of 1350 sqft . The property is available at a price of Rs. 47.00 lac . It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chhapraula,540.0,1949940.0,INR,1.0,1,0,It has an area of 540 sqft . The property is available at a price of Rs. 19.50 lac . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,,,,
Raj Nagar Extension,2800.0,9000000.0,INR,,1,0,"It has a salable area of 2800 sqft and is available at a price of Rs. 3,214 per sqft. The house is unfurnished. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,east,0,0,1,0,1,1,1,1,1,0,0,1,,,,14.0,1.0,,,,,,,,,,,,
Govindpuram,900.0,2950000.0,INR,,1,0,"It’s a 2 bhk villa situated in Govindpuram. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chipiyana Buzurg,915.0,3294000.0,INR,,1,0,"Well designed 2 bhk villa is available at a prime location in Chipiyana Buzurg. It has a salable area of 915 sqft and is available at a price of Rs. 3,600 per sqft. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,east,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Raj Nagar,2500.0,22000000.0,INR,,0,0,"It has a salable area of 2500 sqft and is available at a price of Rs. 8,800 per sqft. The house is semi-furnished. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Raj Nagar Extension,2875.0,18600009.0,INR,0.0,1,0,"It has an area of 2875 sqft . The property is available at a price of Rs. 1.86 cr . The house is unfurnished. Its main door is facing northeast direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chhapraula,695.0,3250000.0,INR,,1,0,"It’s a 3 bhk villa situated in Prithvi Associates Noida Greens, Chhapraula. It has a built-up area of 695 sqft and is priced at Rs. 32.50 lac . It is a semi-furnished property. It is northwest facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northwest,0,0,0,0,0,1,1,0,0,0,0,0,1.0,,,,,,,,,,,,,,,,
Raj Nagar Extension,3600.0,14400000.0,INR,0.0,1,0,"This spacious 4 bhk villa is available for sale and is located in Vaikuntam Buildcon Vilasaa, one of the most prestigious projects of Raj Nagar Extension. It has a salable area of 3600 sqft and is available at a price of Rs. 4,000 per sqft. The house is unfurnished. It is northeast facing property. It is an under-construction property and is expected to get completed by 03/02/2027. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Dasna,1693.0,14500000.0,INR,1.0,1,0,"5 BHK Villa for sale in Ghaziabad. This property is in Wave City, which is a coveted investment location. This tastefully designed 5 BHK unit is among Ghaziabad's best properties. Contact now for more details. The price of the Villa is Rs 1.45 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1693 Square feet. It has 5 bathroom and 5 bedrooms. Some of the very well-known and reputed speciality hospitals like Columbia Asia Hospital - Ghaziabad, Ayurvedic treatment for Piles, Fissure, Fistula in Ghaziabad, India, and Komal Sharma Hospital are just a walk away from this location",1,,0,2,0,0,0,0,0,0,0,0,0,0,,7.2,,2022.0,,,,,,,,,,,,,
Lal Kuan,1480.0,4600000.0,INR,1.0,1,0,It has a built-up area of 1480 sqft and is priced at Rs. 46.00 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ,1,east,0,0,0,0,1,1,0,0,0,0,0,0,,7.4,,,,,,,,,,,,,,,
Vasundhara,1900.0,36000000.0,INR,,0,0,"A 5 bhk property is available for sale in Vasundhara, Ghaziabad. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ansals Chiranjiv Vihar,1800.0,19000000.0,INR,,0,0,"It’s a 5 bhk villa situated in Ansals Chiranjiv Vihar. The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Raj Nagar,900.0,4500000.0,INR,,1,0,Well designed 3 bhk villa is available at a prime location in Raj Nagar. It has an area of 900 sqft with a carpet area of 850 sqft . The property is available at a price of Rs. 45.00 lac . It is a semi-furnished property. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ,1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ghukna,1570.0,13500000.0,INR,,1,0,It has a built-up area of 1570 sqft and is priced at Rs. 1.35 cr . The house is furnished. It is northeast facing property. It is an under-construction property and is expected to get completed by 31/12/2023. The society is well connected by different modes of transportation. Contact us for more details. ,1,northeast,1,0,1,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Vasundhara,600.0,1750000.0,INR,,1,0,This spacious 2 bhk villa is available for sale and is located in the heart of Vasundhara. It has a built-up area of 600 sqft and is priced at Rs. 17.50 lac . It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Kindly call us for details. ,1,northeast,0,0,1,0,0,0,0,0,0,0,0,0,,,,,1.0,,,,,,,,,,,,
Govindpuram,1500.0,4600000.0,INR,,1,0,"It’s a 3 bhk villa situated in Govindpuram, Ghaziabad. It has a salable area of 1500 sqft and is available at a price of Rs. 3,066 per sqft. The house is semi-furnished. Its main door is facing north direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",1,north,0,0,0,0,1,1,0,0,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Vaishali,1500.0,23000000.0,INR,,0,0,This spacious 2 bhk villa is available for sale and is located in the heart of Vaishali. The house is semi-furnished. It is facing northwest direction. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ,1,northwest,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
Vasundhara,1250.0,13000000.0,INR,,0,0,"It’s a 2 bhk villa situated in Vasundhara, Ghaziabad. It has a built-up area of 1250 sqft and is priced at Rs. 1.30 cr . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lal Kuan,645.0,2250000.0,INR,1.0,1,0,Well designed 3 bhk villa is available at a prime location in Lal Kuan. The house is semi-furnished. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,east,0,0,0,0,0,0,1,0,0,0,0,1,,7.4,,,,,,,,,,,,,,,
Dasna,1370.0,11500000.0,INR,,0,0,"It’s a 2 bhk villa situated in Agarwal Associates Aditya World City, Dasna, Ghaziabad. It has an area of 1370 sqft with a carpet area of 1300 sqft . The property is available at a price of Rs. 1.15 cr . The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has club_house. Other amenities include swimming_pool, gymnasium and children's_play_area. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living. Kindly call us for details. ",1,northeast,1,7,1,1,1,1,0,1,1,1,0,1,1.0,7.2,4.0,43.0,,,1.0,,,1.0,,,,,1.0,1.0,
Lal Kuan,720.0,2800000.0,INR,1.0,1,0,"This spacious 2 bhk villa is available for sale and is located in Property Vision Promotors And Developers Mansarovar Park Lalkua, one of the most prestigious projects of Lal Kuan. It has a salable area of 720 sqft and is available at a price of Rs. 3,888 per sqft. The house is unfurnished. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,4,0,0,0,0,0,0,0,0,0,0,,7.4,,123.0,,,,,,,,,,,,,
Shakti Khand,1000.0,14000000.0,INR,1.0,0,0,"A 2 bhk property is available for sale in Shakti Khand, Ghaziabad. It has a salable area of 1000 sqft and is available at a price of Rs. 14,000 per sqft. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,1,0,1,0,1,1,1,0,0,0,,9.3,,,1.0,,,,,,,,,,,,
Ghukna,3200.0,16000000.0,INR,,1,0,"This spacious 4 bhk villa is available for sale and is located in ASM Management Consultants Palm Drive, one of the most prestigious projects of Ghukna. It has a built-up area of 3200 sqft and is priced at Rs. 1.60 cr . The house is furnished. Its main door is facing east direction. It is made in way to provide a comfortable living. ",1,east,1,0,0,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Lal Kuan,3150.0,11891250.0,INR,0.0,1,0,"It has an area of 3150 sqft . The property is available at a price of Rs. 1.19 cr . The house is unfurnished. It has car parking. Other amenities include 24x7 water supply, landscape garden and tree planting, fire sprinklers and full power backup. It is an under-construction property and is expected to get completed by 31/12/2021. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,,0,0,0,0,0,0,1,0,0,0,0,0,,7.4,,,,,1.0,,,,,,,,,,
Lal Kuan,1620.0,19000000.0,INR,,0,0,"A 3 bhk property is available for sale in Land Craft Developers Golf Link Villas, Lal Kuan, Ghaziabad. It has a built-up area of 1620 sqft and is priced at Rs. 1.90 cr . The house is semi-furnished. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,7,1,1,1,1,1,1,1,1,0,1,,7.4,8.3,16.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,
duhai,620.0,2650000.0,INR,0.0,1,0,It is a semi-furnished property. It is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,east,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lal Kuan,1050.0,4233333.0,INR,,1,0,It’s a 2 bhk villa situated in Lal Kuan. Its main door is facing east direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Please contact for more details. ,1,east,0,0,0,0,1,0,0,0,0,0,0,1,,7.4,,,,,,,,,,,,,,,
Govindpuram,800.0,2425000.0,INR,,1,0,The house is semi-furnished. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ,1,northwest,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
