listing_id,city,state,locality,area_sqft,bhk,bathrooms,floor,total_floors,property_age_years,age_band,furnishing_status,property_type,price,price_per_sqft,parking,lift,security,power_backup,gym,pool,clubhouse,garden
L100035,pune,Maharashtra,Hinjewadi,1092.0,2,1.0,5,,1.0,1-5,semi,apartment,12101600.0,11081.6,0,1,0,0,1,0,0,1
L100036,delhi,Delhi,Gurugram,542.5,1,1.0,0,0.0,19.0,10-20,full,plot,8594800.0,15841.8,0,1,0,0,0,0,0,1
L100037,mumbai,Maharashtra,Thane,444.7,1,1.0,3,7.0,11.0,10-20,semi,apartment,7550900.0,16979.9,1,1,0,0,0,0,0,0
L100038,delhi,Delhi,Gurugram,999.8,2,1.0,8,14.0,9.0,5-10,semi,independent,25676500.0,25682.5,0,0,1,0,0,0,1,0
L100039,bengaluru,Karnataka,Electronic City,905.9,2,,7,12.0,0.0,new,unfurnished,apartment,6882800.0,7597.8,0,0,1,1,0,0,0,0
L100040,kochi,Kerala,Aluva,1209.7,2,1.0,8,13.0,8.0,5-10,unfurnished,apartment,5909500.0,4885.0,0,1,1,1,0,0,1,1
L100041,kolkata,West Bengal,Ballygunge,955.9,1,1.0,0,0.0,10.0,10-20,full,plot,7463000.0,7807.5,1,0,0,1,0,0,1,1
L100042,delhi,Delhi,Greater Noida,1467.3,4,3.0,0,17.0,27.0,20+,unfurnished,apartment,12058600.0,8218.2,1,0,1,0,0,1,1,1
L100043,mumbai,Maharashtra,Powai,1164.4,2,1.0,3,4.0,0.0,new,full,independent,51137100.0,43917.3,0,0,1,1,1,1,0,0
L100044,chandigarh,Chandigarh,Sector 8,1010.4,2,1.0,2,2.0,16.0,10-20,full,apartment,18309700.0,18120.8,1,0,1,1,0,0,1,0
L100045,kochi,Kerala,Panampilly Nagar,1385.1,4,3.0,0,15.0,11.0,10-20,unfurnished,apartment,10773700.0,7778.6,0,0,1,0,1,1,1,0
L100046,kochi,Kerala,Aluva,416.5,1,1.0,7,15.0,0.0,new,unfurnished,independent,2637600.0,6332.6,0,0,1,1,1,1,0,0
L100047,lucknow,Uttar Pradesh,Hazratganj,1580.7,5,4.0,3,15.0,8.0,5-10,semi,apartment,10244800.0,6481.3,1,1,0,1,1,0,0,0
L100048,ahmedabad,Gujarat,SG Highway,975.2,2,2.0,15,21.0,5.0,5-10,semi,apartment,7789300.0,7987.7,1,1,0,1,1,1,0,0
L100049,jaipur,Rajasthan,C-Scheme,1124.9,2,2.0,9,9.0,9.0,5-10,unfurnished,apartment,9124900.0,8111.7,1,1,0,0,0,0,0,0
L100050,delhi,Delhi,Gurugram,1614.4,3,2.0,0,0.0,7.0,5-10,semi,plot,28093300.0,17402.1,1,0,0,1,0,1,1,0
L100051,chandigarh,Chandigarh,Sector 8,900.8,3,2.0,9,12.0,2.0,1-5,unfurnished,apartment,14483300.0,16078.9,0,0,0,1,0,1,1,0
L100052,jaipur,Rajasthan,Ajmer Road,1782.9,4,4.0,14,16.0,11.0,10-20,semi,apartment,5961900.0,3344.0,0,1,1,0,0,1,1,1
L100053,pune,Maharashtra,Koregaon Park,1138.2,2,1.0,3,8.0,3.0,1-5,semi,apartment,21730400.0,19092.5,1,1,1,0,1,1,0,0
L100054,hyderabad,Telangana,Gachibowli,1177.6,2,2.0,12,18.0,0.0,new,full,villa,21990200.0,18674.5,1,0,1,0,0,1,0,1
L100055,hyderabad,Telangana,Uppal,1768.0,4,3.0,1,17.0,7.0,5-10,full,apartment,10352300.0,5855.5,0,0,0,0,0,0,0,1
L100056,pune,Maharashtra,Koregaon Park,1219.8,3,2.0,0,0.0,15.0,10-20,semi,plot,12112900.0,9930.5,1,0,0,1,0,1,0,0
L100057,lucknow,Uttar Pradesh,Raebareli Road,1693.3,4,4.0,0,0.0,4.0,1-5,full,plot,4563100.0,2694.9,1,1,0,0,0,1,0,1
L100058,ahmedabad,Gujarat,SG Highway,472.9,1,1.0,0,1.0,3.0,1-5,full,apartment,3899600.0,8246.5,0,0,0,0,0,1,0,0
L100059,chennai,Tamil Nadu,Velachery,1367.4,3,2.0,4,13.0,14.0,10-20,full,independent,14020200.0,10252.9,1,0,1,1,1,0,0,1
L100060,hyderabad,Telangana,Hitec City,1886.4,4,4.0,4,22.0,12.0,10-20,unfurnished,apartment,17914300.0,9496.6,0,1,1,1,0,1,0,0
L100061,chennai,Tamil Nadu,OMR,959.3,2,2.0,5,16.0,9.0,5-10,unfurnished,apartment,8667200.0,9034.9,1,1,1,0,1,1,0,1
L100062,pune,Maharashtra,Koregaon Park,1470.1,3,2.0,0,0.0,19.0,10-20,unfurnished,plot,16303400.0,11090.0,1,0,1,0,1,0,1,1
L100063,delhi,Delhi,Rohini,1442.7,3,2.0,8,18.0,,1-5,unfurnished,apartment,20462200.0,14182.8,0,1,0,1,0,0,0,0
L100064,mumbai,Maharashtra,Bandra,634.4,1,1.0,2,13.0,33.0,20+,full,apartment,29866200.0,47080.3,0,0,1,1,1,0,1,1
L100065,lucknow,Uttar Pradesh,Indira Nagar,623.6,1,1.0,8,12.0,0.0,new,semi,independent,4357700.0,6988.5,1,0,0,1,1,0,0,0
L100066,hyderabad,Telangana,Gachibowli,981.6,2,2.0,6,11.0,9.0,5-10,semi,apartment,10504600.0,10701.8,0,0,0,1,1,1,1,0
L100067,kochi,Kerala,Aluva,1408.4,3,2.0,0,1.0,10.0,10-20,unfurnished,apartment,4969400.0,3528.3,0,1,0,0,0,0,0,0
L100068,chandigarh,Chandigarh,Sector 8,821.1,2,1.0,6,10.0,14.0,10-20,unfurnished,apartment,10576200.0,12880.8,0,1,0,0,1,0,1,0
L100069,chandigarh,Chandigarh,Sector 8,1530.0,3,3.0,3,14.0,7.0,5-10,full,apartment,23915400.0,15630.5,0,1,0,0,1,1,1,1
L100070,kochi,Kerala,Panampilly Nagar,577.2,1,1.0,0,,7.0,5-10,unfurnished,plot,3684600.0,6383.3,1,0,1,1,1,0,0,0
L100071,ahmedabad,Gujarat,SG Highway,1843.5,4,4.0,0,6.0,5.0,5-10,semi,apartment,13952100.0,7568.2,1,0,1,0,1,1,1,1
L100072,bengaluru,Karnataka,Hebbal,1635.3,4,3.0,7,12.0,9.0,5-10,unfurnished,apartment,19129500.0,11697.6,1,1,0,1,0,0,0,0
L100073,chandigarh,Chandigarh,Mohali,1869.7,3,3.0,1,19.0,2.0,1-5,unfurnished,apartment,14605700.0,7812.0,0,1,0,1,1,0,1,0
L100074,mumbai,Maharashtra,Navi Mumbai,903.7,2,1.0,7,7.0,19.0,10-20,unfurnished,apartment,14288900.0,15812.3,0,1,0,0,0,1,1,1
L100075,lucknow,Uttar Pradesh,Hazratganj,1688.4,3,2.0,1,1.0,7.0,5-10,unfurnished,villa,13020200.0,7711.7,1,1,0,0,1,0,0,1
L100076,bengaluru,Karnataka,Electronic City,1678.4,4,3.0,0,0.0,5.0,5-10,unfurnished,plot,9037600.0,5384.7,0,0,0,0,0,0,0,0
L100077,kolkata,West Bengal,Garia,1173.1,2,2.0,2,6.0,0.0,new,semi,independent,9273000.0,7904.4,1,0,0,0,0,1,1,1
L100078,delhi,Delhi,Dwarka,1656.9,3,3.0,4,26.0,18.0,10-20,full,apartment,25585000.0,15441.6,0,1,0,1,0,0,0,0
L100079,bengaluru,Karnataka,Indiranagar,1269.7,3,2.0,4,9.0,3.0,1-5,unfurnished,apartment,22040600.0,17359.5,1,1,0,1,1,1,1,1
L100080,lucknow,Uttar Pradesh,Hazratganj,1470.4,3,3.0,2,17.0,4.0,1-5,unfurnished,apartment,8977000.0,6105.1,1,1,0,1,0,0,0,1
L100081,kochi,Kerala,Fort Kochi,1105.9,2,1.0,12,13.0,26.0,20+,unfurnished,villa,8149300.0,7368.7,1,1,0,0,1,0,0,1
L100082,delhi,Delhi,Gurugram,1348.9,3,3.0,1,1.0,21.0,20+,semi,apartment,29691800.0,22011.1,1,1,1,1,1,0,0,1
L100083,hyderabad,Telangana,Miyapur,972.5,2,2.0,12,13.0,30.0,20+,unfurnished,independent,5594300.0,5752.3,0,1,0,0,1,1,1,0
L100084,kolkata,West Bengal,Salt Lake,2227.5,4,3.0,4,9.0,4.0,1-5,full,apartment,18961700.0,8512.5,0,1,1,0,0,0,1,0
L100085,mumbai,Maharashtra,Andheri West,1669.5,3,3.0,15,17.0,17.0,10-20,semi,apartment,50336500.0,30151.5,0,1,0,1,0,1,1,0
L100086,jaipur,Rajasthan,Jagatpura,730.8,1,1.0,8,16.0,29.0,20+,semi,independent,3026300.0,4141.0,0,0,1,0,0,0,1,1
L100087,lucknow,Uttar Pradesh,Raebareli Road,1270.3,3,2.0,8,8.0,18.0,10-20,unfurnished,independent,3696600.0,2909.9,0,0,0,1,0,1,1,0
L100088,pune,Maharashtra,Kharadi,1614.7,5,5.0,9,13.0,4.0,1-5,unfurnished,apartment,19416700.0,12025.1,1,0,1,1,1,0,0,0
L100089,bengaluru,Karnataka,Koramangala,1432.8,3,2.0,1,16.0,,new,unfurnished,villa,38376100.0,26783.4,1,0,1,0,1,0,0,0
L100090,hyderabad,Telangana,Hitec City,1563.4,3,3.0,0,0.0,33.0,20+,full,plot,10165300.0,6501.9,0,1,0,0,0,0,1,1
L100091,kolkata,West Bengal,Howrah,1757.0,4,3.0,5,5.0,10.0,10-20,full,apartment,8276400.0,4710.6,0,0,1,0,1,1,0,0
L100092,chandigarh,Chandigarh,Sector 8,1037.9,2,1.0,14,31.0,18.0,10-20,semi,apartment,19645400.0,18928.5,0,1,0,0,1,1,1,1
L100093,mumbai,Maharashtra,Andheri West,801.4,1,1.0,0,10.0,0.0,new,semi,apartment,25780300.0,32168.4,0,0,0,0,0,0,1,0
L100094,pune,Maharashtra,Baner,1366.7,3,2.0,4,6.0,5.0,5-10,full,apartment,19190700.0,14041.8,1,0,0,0,0,1,0,1
L100095,lucknow,Uttar Pradesh,Aliganj,1723.8,4,3.0,13,18.0,27.0,20+,unfurnished,apartment,5787900.0,3357.5,1,1,1,1,0,0,1,0
L100096,chennai,Tamil Nadu,Velachery,1082.4,2,1.0,13,17.0,7.0,5-10,semi,apartment,10461400.0,9665.3,1,1,0,1,0,0,1,0
L100097,bengaluru,Karnataka,Whitefield,1344.1,3,3.0,3,7.0,1.0,1-5,unfurnished,apartment,13335500.0,9921.7,0,0,1,0,0,1,0,1
L100098,ahmedabad,Gujarat,Vastrapur,1157.2,4,3.0,9,12.0,17.0,10-20,unfurnished,apartment,8229100.0,7111.1,1,0,0,1,0,1,1,1
L100099,lucknow,Uttar Pradesh,Raebareli Road,1173.0,2,2.0,18,20.0,0.0,new,full,independent,5962400.0,5083.0,0,0,1,0,0,1,0,0
L100100,jaipur,Rajasthan,Mansarovar,807.7,1,1.0,1,8.0,0.0,new,full,apartment,4584600.0,5675.7,1,1,1,0,0,1,0,0
L100101,ahmedabad,Gujarat,Maninagar,1620.7,4,3.0,4,16.0,39.0,20+,semi,apartment,6799800.0,4195.6,1,0,0,1,1,1,0,1
L100102,mumbai,Maharashtra,Borivali,771.7,2,1.0,12,13.0,33.0,20+,semi,apartment,18594600.0,24095.9,0,1,1,1,1,0,0,0
L100103,jaipur,Rajasthan,Vaishali Nagar,883.4,2,2.0,3,12.0,13.0,10-20,semi,apartment,4155500.0,4704.2,1,0,0,1,1,0,1,0
L100104,bengaluru,Karnataka,Electronic City,1252.1,3,3.0,13,18.0,1.0,1-5,semi,independent,14086900.0,11250.2,1,0,0,0,1,0,0,0
L100105,kolkata,West Bengal,New Town,1777.8,3,2.0,0,0.0,4.0,1-5,full,plot,9549900.0,5371.8,1,1,1,1,0,1,1,1
L100106,mumbai,Maharashtra,Andheri West,1027.5,2,1.0,7,9.0,1.0,1-5,unfurnished,apartment,35335300.0,34388.7,0,1,0,0,0,1,1,1
L100107,hyderabad,Telangana,Hitec City,716.1,2,2.0,2,16.0,5.0,5-10,unfurnished,apartment,7736000.0,10802.6,0,1,0,1,1,0,1,1
L100108,kolkata,West Bengal,Ballygunge,1391.8,3,2.0,14,23.0,1.0,1-5,unfurnished,apartment,19508900.0,14016.8,1,1,1,0,1,1,0,0
L100109,bengaluru,Karnataka,Sarjapur Road,1285.5,3,2.0,0,0.0,4.0,1-5,full,plot,42098900.0,32749.0,1,0,0,0,1,1,1,1
L100110,delhi,Delhi,Dwarka,1190.9,2,1.0,6,9.0,7.0,5-10,unfurnished,villa,23587400.0,19806.6,0,0,1,0,0,1,0,1
L100111,bengaluru,Karnataka,Hebbal,1825.4,3,,0,15.0,5.0,5-10,unfurnished,independent,21101600.0,11560.1,0,0,1,1,0,0,1,0
L100112,mumbai,Maharashtra,Borivali,532.3,2,2.0,0,0.0,10.0,10-20,full,plot,11573000.0,21740.3,0,0,1,0,1,1,1,1
L100113,kochi,Kerala,Kakkanad,1313.9,2,1.0,1,1.0,6.0,5-10,semi,apartment,8157300.0,6208.3,0,1,1,1,0,0,1,0
L100114,ahmedabad,Gujarat,SG Highway,1387.7,4,3.0,0,14.0,17.0,10-20,unfurnished,apartment,7375100.0,5314.7,1,0,0,1,1,1,0,1
L100115,ahmedabad,Gujarat,Satellite,2092.7,4,3.0,6,11.0,12.0,10-20,semi,villa,19700300.0,9413.7,0,1,1,0,0,1,1,0
L100116,kolkata,West Bengal,Garia,1002.3,2,1.0,9,11.0,19.0,10-20,semi,apartment,5541800.0,5529.3,0,1,1,0,0,0,0,0
L100117,delhi,Delhi,Dwarka,1890.9,5,5.0,5,14.0,2.0,1-5,semi,apartment,31794700.0,16814.9,1,0,0,1,0,0,0,0
L100118,lucknow,Uttar Pradesh,Hazratganj,1035.0,2,1.0,5,11.0,0.0,new,semi,apartment,9133200.0,8824.2,1,0,0,1,0,1,0,1
L100119,hyderabad,Telangana,Miyapur,1749.5,4,4.0,4,8.0,12.0,10-20,full,villa,13718600.0,7841.3,0,1,0,0,1,0,0,0
L100120,chennai,Tamil Nadu,Tambaram,2054.0,5,5.0,3,3.0,2.0,1-5,semi,independent,14078000.0,6854.0,0,0,1,0,0,1,1,1
L100121,lucknow,Uttar Pradesh,Aliganj,1028.8,2,2.0,1,1.0,3.0,1-5,semi,apartment,5205600.0,5060.1,1,0,0,0,0,1,1,0
L100122,mumbai,Maharashtra,Borivali,1281.5,2,1.0,14,14.0,0.0,new,unfurnished,apartment,35628300.0,27801.8,0,0,0,1,0,1,1,1
L100123,jaipur,Rajasthan,C-Scheme,1795.9,4,3.0,2,4.0,6.0,5-10,full,apartment,16527000.0,9202.7,0,1,1,1,0,1,0,0
L100124,kolkata,West Bengal,Ballygunge,882.9,1,,9,14.0,0.0,new,semi,villa,18226800.0,20644.0,1,1,1,0,1,0,0,0
L100125,jaipur,Rajasthan,Ajmer Road,1856.2,3,3.0,0,1.0,9.0,5-10,unfurnished,independent,6026100.0,3246.5,1,0,1,1,0,0,0,0
L100126,delhi,Delhi,Gurugram,805.3,2,2.0,0,0.0,7.0,5-10,full,plot,14203100.0,17635.9,0,0,0,0,1,1,1,1
L100127,hyderabad,Telangana,Uppal,1641.1,4,,6,8.0,34.0,20+,full,apartment,9560400.0,5825.6,0,1,1,0,0,1,1,1
L100128,chandigarh,Chandigarh,IT Park,779.3,1,,1,6.0,,5-10,semi,independent,9145400.0,11735.7,0,0,0,0,1,0,0,1
L100129,delhi,Delhi,Rohini,751.1,1,1.0,9,,0.0,new,full,apartment,13477000.0,17941.8,1,0,0,0,1,1,0,1
L100130,bengaluru,Karnataka,Hebbal,1088.0,2,2.0,1,24.0,,10-20,semi,apartment,12064800.0,11088.6,1,1,0,1,0,1,0,1
L100131,lucknow,Uttar Pradesh,Jankipuram,1215.4,2,2.0,19,,0.0,new,unfurnished,apartment,5311200.0,4369.8,1,1,1,1,1,1,1,0
L100132,chandigarh,Chandigarh,IT Park,1435.8,3,2.0,1,4.0,23.0,20+,unfurnished,villa,16990500.0,11833.1,1,0,1,1,0,1,1,0
L100133,chandigarh,Chandigarh,Mohali,1211.6,3,3.0,8,13.0,1.0,1-5,full,apartment,12747700.0,10521.5,1,1,1,1,1,1,0,1
L100134,ahmedabad,Gujarat,Bopal,781.8,2,2.0,11,12.0,12.0,10-20,unfurnished,villa,5415000.0,6926.0,1,1,0,1,0,0,0,0
L100135,kolkata,West Bengal,Ballygunge,1432.1,5,5.0,0,0.0,1.0,1-5,unfurnished,plot,13074900.0,9129.7,0,0,0,0,1,1,0,1
L100136,chandigarh,Chandigarh,Mohali,1855.5,4,4.0,12,16.0,3.0,1-5,unfurnished,independent,18036600.0,9720.8,0,1,0,0,0,1,1,1
L100137,kochi,Kerala,Fort Kochi,1367.5,3,2.0,3,3.0,2.0,1-5,full,apartment,10203500.0,7461.6,1,0,0,0,0,0,0,0
L100138,delhi,Delhi,South Delhi,980.9,2,2.0,10,17.0,9.0,5-10,unfurnished,independent,30759100.0,31356.9,1,0,1,0,0,0,0,0
L100139,lucknow,Uttar Pradesh,Gomti Nagar,1546.4,3,3.0,2,18.0,17.0,10-20,unfurnished,apartment,9559200.0,6181.8,0,0,0,0,1,1,1,1
L100140,hyderabad,Telangana,Uppal,1601.8,2,1.0,4,5.0,0.0,new,semi,apartment,11390700.0,7111.4,1,0,1,1,1,0,0,0
L100141,jaipur,Rajasthan,Vaishali Nagar,1730.3,3,3.0,12,16.0,3.0,1-5,full,apartment,10861500.0,6277.1,0,0,1,1,1,0,1,1
L100142,mumbai,Maharashtra,Navi Mumbai,943.3,2,1.0,5,11.0,15.0,10-20,semi,independent,16233300.0,17208.2,0,0,1,0,0,1,0,0
L100143,pune,Maharashtra,Wakad,1451.8,3,2.0,0,0.0,0.0,new,full,plot,12952500.0,8921.6,0,1,1,0,1,0,1,0
L100144,delhi,Delhi,South Delhi,1869.4,4,4.0,9,,9.0,5-10,unfurnished,apartment,48095400.0,25727.1,1,1,1,0,1,1,0,1
L100145,kolkata,West Bengal,New Town,1247.7,3,2.0,3,7.0,2.0,1-5,full,apartment,46142400.0,36982.0,1,1,1,0,1,1,0,1
L100146,bengaluru,Karnataka,Sarjapur Road,2124.2,4,4.0,1,2.0,2.0,1-5,unfurnished,apartment,21293000.0,10024.0,0,0,0,0,1,0,0,0
L100147,pune,Maharashtra,Wakad,1480.3,2,1.0,4,6.0,3.0,1-5,full,apartment,16598600.0,11213.2,0,1,0,1,0,1,0,0
L100148,lucknow,Uttar Pradesh,Jankipuram,1426.1,3,2.0,1,6.0,28.0,20+,semi,apartment,4513500.0,3164.9,0,1,0,1,1,1,1,1
L100149,hyderabad,Telangana,Gachibowli,577.8,1,1.0,0,7.0,9.0,5-10,unfurnished,apartment,5959400.0,10313.3,1,1,1,1,1,1,0,1
L100150,chennai,Tamil Nadu,Velachery,984.9,2,2.0,0,0.0,2.0,1-5,semi,plot,7303600.0,7415.9,1,1,0,0,0,1,1,1
L100151,jaipur,Rajasthan,Mansarovar,2294.6,5,5.0,10,12.0,2.0,1-5,semi,apartment,11902900.0,5187.4,1,1,1,0,1,1,1,1
L100152,chandigarh,Chandigarh,Sector 8,1447.1,3,2.0,11,12.0,2.0,1-5,semi,apartment,28290400.0,19549.8,0,0,1,1,0,1,0,0
L100153,chandigarh,Chandigarh,Panchkula,2199.0,4,4.0,6,14.0,29.0,20+,unfurnished,apartment,15176400.0,6901.3,0,1,0,0,1,1,0,0
L100154,jaipur,Rajasthan,Malviya Nagar,1035.5,2,2.0,2,16.0,5.0,5-10,unfurnished,independent,7124200.0,6880.1,1,1,1,0,0,1,0,1
L100155,chandigarh,Chandigarh,Mohali,1515.5,2,2.0,0,18.0,11.0,10-20,unfurnished,apartment,10200700.0,6731.0,1,1,0,1,1,1,1,0
L100156,kolkata,West Bengal,Howrah,2301.8,5,4.0,2,8.0,4.0,1-5,full,villa,18559200.0,8063.1,1,1,0,1,1,0,1,0
L100157,delhi,Delhi,Noida,1288.8,3,3.0,2,2.0,1.0,1-5,semi,apartment,19640000.0,15238.8,1,1,0,0,0,0,0,1
L100158,ahmedabad,Gujarat,Satellite,954.1,2,2.0,18,20.0,39.0,20+,unfurnished,apartment,5644400.0,5916.0,0,1,0,0,0,0,0,1
L100159,mumbai,Maharashtra,Powai,624.7,1,1.0,2,,31.0,20+,full,apartment,20108000.0,32185.8,0,1,1,1,1,0,0,0
L100160,chennai,Tamil Nadu,Adyar,1549.5,3,3.0,0,1.0,7.0,5-10,semi,independent,24854800.0,16040.2,1,1,1,0,0,0,0,0
L100161,hyderabad,Telangana,Hitec City,1271.5,2,2.0,1,2.0,3.0,1-5,semi,apartment,14776400.0,11621.2,1,0,0,0,0,1,1,1
L100162,bengaluru,Karnataka,Indiranagar,944.6,2,2.0,11,15.0,7.0,5-10,semi,apartment,19948900.0,21119.7,1,0,0,0,1,1,1,1
L100163,kolkata,West Bengal,Garia,1035.9,2,1.0,7,22.0,11.0,10-20,unfurnished,apartment,6128500.0,5916.2,1,1,0,1,1,1,0,1
L100164,chennai,Tamil Nadu,Tambaram,937.2,2,2.0,0,21.0,33.0,20+,unfurnished,apartment,4450800.0,4749.3,0,0,0,1,0,1,0,1
L100165,chennai,Tamil Nadu,Porur,1301.7,3,2.0,9,25.0,1.0,1-5,full,villa,15020100.0,11539.0,1,1,0,1,0,1,0,1
L100166,kolkata,West Bengal,Behala,1410.5,2,2.0,0,4.0,16.0,10-20,semi,apartment,6884200.0,4880.7,0,1,1,1,1,1,0,0
L100167,kolkata,West Bengal,Howrah,952.5,2,1.0,6,12.0,13.0,10-20,semi,apartment,4705800.0,4940.7,0,1,1,1,1,1,1,1
L100168,kolkata,West Bengal,Howrah,1341.2,3,2.0,3,7.0,3.0,1-5,unfurnished,independent,7079000.0,5278.2,0,0,1,1,0,0,0,0
L100169,pune,Maharashtra,Hadapsar,1396.0,3,2.0,0,6.0,19.0,10-20,full,apartment,10482600.0,7508.8,0,1,1,0,0,0,1,1
L100170,delhi,Delhi,Gurugram,1372.1,3,2.0,0,0.0,0.0,new,semi,plot,25498100.0,18583.2,1,1,1,0,1,0,1,0
